dataset_id,id,model,variable,set,ss_res,ss_tot,n,R2_by_variable
0001,4,mean,difficulties_relaxing,in,1.442434210526316,1.442434210526316,38,0
0001,4,mean,irritable,in,1.817434210526316,1.817434210526316,38,0
0001,4,mean,worry,in,1.3157894736842106,1.3157894736842106,38,0
0001,4,mean,nervous,in,0.8355263157894737,0.8355263157894737,38,0
0001,4,mean,nothing_look_forward,in,0.2236842105263158,0.2236842105263158,38,0
0001,4,mean,anhedonia,in,0.4819078947368421,0.4819078947368421,38,0
0001,4,mean,tired,in,1.3634868421052633,1.3634868421052633,38,0
0001,4,mean,alone,in,0.5855263157894738,0.5855263157894738,38,0
0001,4,mean,social_offline,in,2.5608552631578947,2.5608552631578947,38,0
0001,4,mean,social_online,in,1.4934210526315788,1.4934210526315788,38,0
0001,4,mean,time_outdoors,in,2.4539473684210527,2.4539473684210527,38,0
0001,4,mean,covid_occupied,in,1.125,1.125,38,0
0001,4,mean,covid_worry,in,0.6776315789473685,0.6776315789473685,38,0
0001,4,mean,time_home,in,0.34868421052631576,0.34868421052631576,38,0
0001,4,mean,difficulties_relaxing,oos,0.39393218327098345,0.3737015235457064,10,-0.05413587703182765
0001,4,mean,irritable,oos,0.2837929450001144,0.2750173130193906,10,-0.03190938012002564
0001,4,mean,worry,oos,0.3618112986579956,0.3511080332409972,10,-0.030484251010149288
0001,4,mean,nervous,oos,0.2100780657494924,0.19130886426592797,10,-0.0981094187955367
0001,4,mean,nothing_look_forward,oos,0.05789604899927837,0.05626731301939058,10,-0.028946396984097955
0001,4,mean,anhedonia,oos,0.029689542197671146,0.021208448753462603,10,-0.39989221007141684
0001,4,mean,tired,oos,0.3672995214644386,0.33526662049861494,10,-0.09554455769615156
0001,4,mean,alone,oos,0.13631755374041224,0.13209833795013853,10,-0.031939961211822965
0001,4,mean,social_offline,oos,0.33002672745045536,0.30306440443213295,10,-0.08896565424383329
0001,4,mean,social_online,oos,0.26022515176432537,0.2517313019390582,10,-0.03374173080518794
0001,4,mean,time_outdoors,oos,0.5894969701712991,0.5548822714681441,10,-0.062382059191707695
0001,4,mean,covid_occupied,oos,0.2668851090822722,0.25,10,-0.0675404363290888
0001,4,mean,covid_worry,oos,0.2686620839152178,0.2591759002770083,10,-0.03660133379712627
0001,4,mean,time_home,oos,0.009694544391076284,0.006925207756232672,10,-0.3998922100714184
0001,5,mean,difficulties_relaxing,in,0.060897435897435896,0.060897435897435896,39,0
0001,5,mean,irritable,in,0.1730769230769231,0.1730769230769231,39,0
0001,5,mean,worry,in,0.22435897435897437,0.22435897435897437,39,0
0001,5,mean,nervous,in,0.1730769230769231,0.1730769230769231,39,0
0001,5,mean,nothing_look_forward,in,0.2980769230769231,0.2980769230769231,39,0
0001,5,mean,anhedonia,in,0.060897435897435896,0.060897435897435896,39,0
0001,5,mean,tired,in,1.4230769230769231,1.4230769230769231,39,0
0001,5,mean,alone,in,0.060897435897435896,0.060897435897435896,39,0
0001,5,mean,social_offline,in,1.1442307692307692,1.1442307692307692,39,0
0001,5,mean,social_online,in,0.9743589743589743,0.9743589743589743,39,0
0001,5,mean,time_outdoors,in,3.1858974358974357,3.1858974358974357,39,0
0001,5,mean,covid_occupied,in,0.6730769230769231,0.6730769230769231,39,0
0001,5,mean,covid_worry,in,0.75,0.75,39,0
0001,5,mean,time_home,in,0.5224358974358975,0.5224358974358975,39,0
0001,5,mean,difficulties_relaxing,oos,5.694721851636206e-4,4.1091387245233396e-4,10,-0.38586750981418705
0001,5,mean,irritable,oos,0.005125249666472585,0.0036982248520710066,10,-0.3858675098141866
0001,5,mean,worry,oos,0.009111554962617929,0.006574621959237343,10,-0.38586750981418705
0001,5,mean,nervous,oos,0.005125249666472585,0.0036982248520710066,10,-0.3858675098141866
0001,5,mean,nothing_look_forward,oos,0.005125249666472585,0.0036982248520710066,10,-0.3858675098141866
0001,5,mean,anhedonia,oos,5.694721851636206e-4,4.1091387245233396e-4,10,-0.38586750981418705
0001,5,mean,tired,oos,0.1873964801430163,0.1815828402366864,10,-0.03201646090980881
0001,5,mean,alone,oos,0.06279963987394296,0.05970578566732413,10,-0.051818331708379795
0001,5,mean,social_offline,oos,0.2909570426503661,0.28032544378698226,10,-0.0379259146788784
0001,5,mean,social_online,oos,0.151200172039708,0.13477975016436555,10,-0.12183152035315059
0001,5,mean,time_outdoors,oos,0.9999819668625453,0.9475262984878369,10,-0.055360646409944314
0001,5,mean,covid_occupied,oos,0.2977776145380106,0.2729289940828402,10,-0.09104426790078701
0001,5,mean,covid_worry,oos,0.21294932818151874,0.1875,10,-0.1357297503014332
0001,5,mean,time_home,oos,0.014236804629090506,0.010272846811308347,10,-0.3858675098141866
0001,6,mean,difficulties_relaxing,in,0.5701219512195123,0.5701219512195123,41,0
0001,6,mean,irritable,in,0.9054878048780487,0.9054878048780487,41,0
0001,6,mean,worry,in,0.27439024390243905,0.27439024390243905,41,0
0001,6,mean,nervous,in,0.8262195121951219,0.8262195121951219,41,0
0001,6,mean,nothing_look_forward,in,0.2439024390243902,0.2439024390243902,41,0
0001,6,mean,anhedonia,in,0.35060975609756095,0.35060975609756095,41,0
0001,6,mean,tired,in,1.0121951219512195,1.0121951219512195,41,0
0001,6,mean,alone,in,0.8445121951219512,0.8445121951219512,41,0
0001,6,mean,social_offline,in,2.3689024390243905,2.3689024390243905,41,0
0001,6,mean,social_online,in,1.9756097560975612,1.9756097560975612,41,0
0001,6,mean,time_outdoors,in,1.8628048780487807,1.8628048780487807,41,0
0001,6,mean,covid_occupied,in,1.0609756097560976,1.0609756097560976,41,0
0001,6,mean,covid_worry,in,0.576219512195122,0.576219512195122,41,0
0001,6,mean,time_home,in,0.4878048780487805,0.4878048780487805,41,0
0001,6,mean,difficulties_relaxing,oos,0.018211152162010063,0.013384889946460438,10,-0.3605754126372853
0001,6,mean,irritable,oos,0.0893517331214569,0.07945419393218321,10,-0.12456912215007265
0001,6,mean,worry,oos,0.01264663344584032,0.00929506246281975,10,-0.3605754126372851
0001,6,mean,nervous,oos,0.09914960621538811,0.07287328970850686,10,-0.36057541263728465
0001,6,mean,nothing_look_forward,oos,0.0020234613513344514,0.0014872099940511601,10,-0.3605754126372851
0001,6,mean,anhedonia,oos,0.008093845405337806,0.005948839976204641,10,-0.3605754126372851
0001,6,mean,tired,oos,0.1618352012819287,0.14336704342653184,10,-0.12881731682540298
0001,6,mean,alone,oos,0.15526086296861144,0.15072873289708508,10,-0.030068122941236508
0001,6,mean,social_offline,oos,0.9596811517600005,0.9206945270672219,10,-0.04234479900403709
0001,6,mean,social_online,oos,0.4435684939958231,0.35808298631766805,10,-0.2387309951730514
0001,6,mean,time_outdoors,oos,0.2822728540907018,0.26821832242712673,10,-0.0523995957337835
0001,6,mean,covid_occupied,oos,0.19110745002889432,0.1848230220107079,10,-0.034002409168606196
0001,6,mean,covid_worry,oos,0.15720985957751155,0.1521415823914337,10,-0.033312899119440464
0001,6,mean,time_home,oos,0.23153285139455826,0.22553539559785843,10,-0.02659208227959753
0001,7,mean,difficulties_relaxing,in,1.1907894736842104,1.1907894736842104,38,0
0001,7,mean,irritable,in,1.6858552631578947,1.6858552631578947,38,0
0001,7,mean,worry,in,0.9095394736842105,0.9095394736842105,38,0
0001,7,mean,nervous,in,0.8947368421052632,0.8947368421052632,38,0
0001,7,mean,nothing_look_forward,in,1.356907894736842,1.356907894736842,38,0
0001,7,mean,anhedonia,in,1.231907894736842,1.231907894736842,38,0
0001,7,mean,tired,in,1.3684210526315788,1.3684210526315788,38,0
0001,7,mean,alone,in,2.1447368421052633,2.1447368421052633,38,0
0001,7,mean,social_offline,in,4.797697368421052,4.797697368421052,38,0
0001,7,mean,social_online,in,3.217105263157895,3.217105263157895,38,0
0001,7,mean,time_outdoors,in,3.4407894736842106,3.4407894736842106,38,0
0001,7,mean,covid_occupied,in,0.6595394736842105,0.6595394736842105,38,0
0001,7,mean,covid_worry,in,0.3157894736842105,0.3157894736842105,38,0
0001,7,mean,time_home,in,1.962171052631579,1.962171052631579,38,0
0001,7,mean,difficulties_relaxing,oos,0.39232845030187113,0.3149238227146814,10,-0.2457884161317252
0001,7,mean,irritable,oos,0.5327437775276873,0.4149065096952908,10,-0.2840092046734497
0001,7,mean,worry,oos,0.21278578944586835,0.19156855955678673,10,-0.11075528227685072
0001,7,mean,nervous,oos,0.2872521509678732,0.2448060941828254,10,-0.17338643846565516
0001,7,mean,nothing_look_forward,oos,0.4350088107549022,0.33699792243767307,10,-0.2908352894530264
0001,7,mean,anhedonia,oos,0.5062113214472643,0.3764716066481994,10,-0.34462018518252435
0001,7,mean,tired,oos,0.7764744362221826,0.751731301939058,10,-0.03291486495148033
0001,7,mean,alone,oos,0.8928303459678752,0.8303324099722993,10,-0.07526857345922577
0001,7,mean,social_offline,oos,1.8440101152542825,1.6881059556786704,10,-0.09235448702207427
0001,7,mean,social_online,oos,1.0145498487240738,0.9231301939058172,10,-0.0990322442292293
0001,7,mean,time_outdoors,oos,0.5834918568803283,0.5221606648199446,10,-0.11745655349495232
